0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
4689.711000000003,138266.711,300687.711,441131.711,616601.711,778335.711,901954.711,1083604.711,1247742.711,1413941.711,1564687.711,1739469.711,1867895.711,2051606.711,2177628.711,2357906.711,2543677.711,2654933.711,2815981.711,2969817.711,3164860.711,3304618.711,3457080.711,3631863.711,3747927.711,3899017.711,4084101.711,4231757.711,4412034.711,4579262.711,4767094.711,4883501.711,5052103.711,5213150.711,5356685.711,5523914.711,5672256.711,5860774.711,5968940.711,6152651.711,6334302.711,6448306.711
7436.711000000003,139983.711,301717.711,442848.711,617631.711,779365.711,907791.711,1083261.711,1249803.711,1415314.711,1561253.711,1738783.711,1865148.711,2051263.711,2169044.711,2360996.711,2540930.711,2651156.711,2814607.711,2970847.711,3165203.711,3302214.711,3453303.711,3631863.711,3744150.711,3898673.711,4084101.711,4232787.711,4413064.711,4578919.711,4767437.711,4879724.711,5052790.711,5215898.711,5355312.711,5523570.711,5667792.711,5858371.711,5971688.711,6152651.711,6332242.711,6447276.711
9153.711000000003,139639.711,300344.711,445595.711,616258.711,774558.711,907791.711,1084291.711,1251863.711,1414627.711,1558849.711,1737752.711,1868582.711,2052293.711,2171448.711,2363743.711,2540930.711,2648066.711,2812204.711,2970847.711,3167607.711,3302214.711,3451930.711,3627399.711,3744493.711,3891806.711,4082384.711,4233817.711,4413751.711,4569647.711,4762630.711,4880411.711,5050729.711,5213494.711,5355312.711,5522197.711,5668822.711,5858714.711,5971688.711,6155055.711,6332585.711,6447276.711
8810.711000000003,138266.711,301374.711,443192.711,618661.711,772154.711,909165.711,1082231.711,1250833.711,1417031.711,1558849.711,1737409.711,1870642.711,2055383.711,2181062.711,2362026.711,2541273.711,2650126.711,2815294.711,2969474.711,3167264.711,3302557.711,3460858.711,3628429.711,3742090.711,3893179.711,4081354.711,4233130.711,4413407.711,4568274.711,4758852.711,4887278.711,5051760.711,5216241.711,5356342.711,5521167.711,5672599.711,5860431.711,5975121.711,6159862.711,6332242.711,6446932.711
9497.711000000003,136892.711,304464.711,438384.711,620035.711,772841.711,913286.711,1079140.711,1250833.711,1413254.711,1559192.711,1738439.711,1873046.711,2059161.711,2182092.711,2359966.711,2542647.711,2651843.711,2815638.711,2969474.711,3165890.711,3300497.711,3462918.711,3626369.711,3741060.711,3899703.711,4085131.711,4233474.711,4412377.711,4578232.711,4761943.711,4891055.711,5053476.711,5221048.711,5352565.711,5520480.711,5674316.711,5860088.711,5979585.711,6158832.711,6329151.711,6447619.711
8123.711000000003,136892.711,305151.711,439414.711,619691.711,771468.711,915346.711,1074333.711,1248772.711,1408790.711,1559192.711,1736036.711,1871673.711,2061564.711,2181406.711,2359966.711,2543677.711,2652873.711,2818041.711,2970504.711,3168294.711,3299467.711,3464291.711,3628086.711,3743120.711,3904167.711,4085131.711,4230040.711,4412720.711,4581322.711,4769497.711,4893116.711,5054507.711,5217271.711,5352565.711,5519793.711,5675346.711,5858714.711,5976838.711,6156429.711,6329151.711,6442468.711
6750.711000000003,135175.711,303091.711,445939.711,620378.711,771811.711,913629.711,1072273.711,1246369.711,1407073.711,1557475.711,1735692.711,1871329.711,2060534.711,2182436.711,2359622.711,2539556.711,2656650.711,2820102.711,2973938.711,3170697.711,3301527.711,3462918.711,3630146.711,3742090.711,3903824.711,4082384.711,4229696.711,4409973.711,4581666.711,4774648.711,4895519.711,5052790.711,5216928.711,5351878.711,5519793.711,5674660.711,5857340.711,5972718.711,6157802.711,6330525.711,6440408.711
7780.711000000003,136206.711,303434.711,447656.711,618661.711,773184.711,913286.711,1076737.711,1247399.711,1408446.711,1557475.711,1735349.711,1873390.711,2058817.711,2183466.711,2359279.711,2535092.711,2656307.711,2819071.711,2977028.711,3171728.711,3304961.711,3458797.711,3631176.711,3739686.711,3904511.711,4079637.711,4234160.711,4412034.711,4582696.711,4773618.711,4893803.711,5052790.711,5219331.711,5349131.711,5519793.711,5675346.711,5858371.711,5974778.711,6155055.711,6330181.711,6438348.711
8466.711000000003,133802.711,298970.711,449373.711,618318.711,774215.711,914316.711,1078454.711,1251863.711,1406043.711,1564343.711,1734662.711,1873390.711,2054353.711,2182779.711,2356189.711,2534062.711,2653216.711,2821132.711,2970161.711,3169667.711,3304961.711,3461201.711,3630490.711,3740716.711,3907601.711,4079294.711,4237251.711,4413064.711,4584413.711,4771558.711,4893459.711,5054850.711,5220362.711,5347414.711,5517046.711,5675003.711,5854937.711,5975465.711,6158146.711,6327778.711,6438691.711
8466.711000000003,132772.711,291416.711,449373.711,617288.711,773184.711,911912.711,1080857.711,1252550.711,1408103.711,1566747.711,1733288.711,1872359.711,2053667.711,2185183.711,2354128.711,2532345.711,2652873.711,2819071.711,2969817.711,3167607.711,3303244.711,3462231.711,3629116.711,3739343.711,3907945.711,4079980.711,4235877.711,4411003.711,4584756.711,4770871.711,4894833.711,5057254.711,5221392.711,5348444.711,5516703.711,5673973.711,5850816.711,5976152.711,6165357.711,6328464.711,6436974.711
