0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
-36244.0,96303.0,258037.0,399168.0,573951.0,735685.0,864111.0,1039581.0,1206123.0,1371634.0,1517573.0,1695103.0,1821468.0,2007583.0,2125364.0,2317316.0,2497250.0,2607476.0,2770927.0,2927167.0,3121523.0,3258534.0,3409623.0,3588183.0,3700470.0,3854993.0,4040421.0,4189107.0,4369384.0,4535239.0,4723757.0,4836044.0,5009110.0,5172218.0,5311632.0,5479890.0,5624112.0,5814691.0,5928008.0,6108971.0,6288562.0,6403596.00
-34527.0,95959.0,256664.0,401915.0,572578.0,730878.0,864111.0,1040611.0,1208183.0,1370947.0,1515169.0,1694072.0,1824902.0,2008613.0,2127768.0,2320063.0,2497250.0,2604386.0,2768524.0,2927167.0,3123927.0,3258534.0,3408250.0,3583719.0,3700813.0,3848126.0,4038704.0,4190137.0,4370071.0,4525967.0,4718950.0,4836731.0,5007049.0,5169814.0,5311632.0,5478517.0,5625142.0,5815034.0,5928008.0,6111375.0,6288905.0,6403596.00
-34870.0,94586.0,257694.0,399512.0,574981.0,728474.0,865485.0,1038551.0,1207153.0,1373351.0,1515169.0,1693729.0,1826962.0,2011703.0,2137382.0,2318346.0,2497593.0,2606446.0,2771614.0,2925794.0,3123584.0,3258877.0,3417178.0,3584749.0,3698410.0,3849499.0,4037674.0,4189450.0,4369727.0,4524594.0,4715172.0,4843598.0,5008080.0,5172561.0,5312662.0,5477487.0,5628919.0,5816751.0,5931441.0,6116182.0,6288562.0,6403252.00
-34183.0,93212.0,260784.0,394704.0,576355.0,729161.0,869606.0,1035460.0,1207153.0,1369574.0,1515512.0,1694759.0,1829366.0,2015481.0,2138412.0,2316286.0,2498967.0,2608163.0,2771958.0,2925794.0,3122210.0,3256817.0,3419238.0,3582689.0,3697380.0,3856023.0,4041451.0,4189794.0,4368697.0,4534552.0,4718263.0,4847375.0,5009796.0,5177368.0,5308885.0,5476800.0,5630636.0,5816408.0,5935905.0,6115152.0,6285471.0,6403939.00
-35557.0,93212.0,261471.0,395734.0,576011.0,727788.0,871666.0,1030653.0,1205092.0,1365110.0,1515512.0,1692356.0,1827993.0,2017884.0,2137726.0,2316286.0,2499997.0,2609193.0,2774361.0,2926824.0,3124614.0,3255787.0,3420611.0,3584406.0,3699440.0,3860487.0,4041451.0,4186360.0,4369040.0,4537642.0,4725817.0,4849436.0,5010827.0,5173591.0,5308885.0,5476113.0,5631666.0,5815034.0,5933158.0,6112749.0,6285471.0,6398788.00
-36930.0,91495.0,259411.0,402259.0,576698.0,728131.0,869949.0,1028593.0,1202689.0,1363393.0,1513795.0,1692012.0,1827649.0,2016854.0,2138756.0,2315942.0,2495876.0,2612970.0,2776422.0,2930258.0,3127017.0,3257847.0,3419238.0,3586466.0,3698410.0,3860144.0,4038704.0,4186016.0,4366293.0,4537986.0,4730968.0,4851839.0,5009110.0,5173248.0,5308198.0,5476113.0,5630980.0,5813660.0,5929038.0,6114122.0,6286845.0,6396728.00
-35900.0,92526.0,259754.0,403976.0,574981.0,729504.0,869606.0,1033057.0,1203719.0,1364766.0,1513795.0,1691669.0,1829710.0,2015137.0,2139786.0,2315599.0,2491412.0,2612627.0,2775391.0,2933348.0,3128048.0,3261281.0,3415117.0,3587496.0,3696006.0,3860831.0,4035957.0,4190480.0,4368354.0,4539016.0,4729938.0,4850123.0,5009110.0,5175651.0,5305451.0,5476113.0,5631666.0,5814691.0,5931098.0,6111375.0,6286501.0,6394668.00
-35214.0,90122.0,255290.0,405693.0,574638.0,730535.0,870636.0,1034774.0,1208183.0,1362363.0,1520663.0,1690982.0,1829710.0,2010673.0,2139099.0,2312509.0,2490382.0,2609536.0,2777452.0,2926481.0,3125987.0,3261281.0,3417521.0,3586810.0,3697036.0,3863921.0,4035614.0,4193571.0,4369384.0,4540733.0,4727878.0,4849779.0,5011170.0,5176682.0,5303734.0,5473366.0,5631323.0,5811257.0,5931785.0,6114466.0,6284098.0,6395011.00
-35214.0,89092.0,247736.0,405693.0,573608.0,729504.0,868232.0,1037177.0,1208870.0,1364423.0,1523067.0,1689608.0,1828679.0,2009987.0,2141503.0,2310448.0,2488665.0,2609193.0,2775391.0,2926137.0,3123927.0,3259564.0,3418551.0,3585436.0,3695663.0,3864265.0,4036300.0,4192197.0,4367323.0,4541076.0,4727191.0,4851153.0,5013574.0,5177712.0,5304764.0,5473023.0,5630293.0,5807136.0,5932472.0,6121677.0,6284784.0,6393294.00
-37274.0,88405.0,246705.0,406379.0,574295.0,728474.0,869262.0,1040611.0,1204062.0,1366140.0,1522037.0,1687892.0,1828679.0,2015481.0,2143907.0,2309762.0,2488665.0,2610223.0,2775735.0,2936095.0,3123240.0,3258190.0,3420955.0,3584749.0,3696693.0,3862204.0,4034927.0,4190824.0,4364576.0,4539703.0,4730625.0,4852526.0,5014947.0,5179085.0,5302360.0,5474396.0,5633383.0,5810227.0,5931098.0,6123394.0,6284441.0,6389860.00
