t,x,flags
27400643,16777087,0
27401678,408,0
27402717,657,0
27403753,1178,0
27404788,1002,0
27405823,16777145,0
27406860,16776583,0
27407897,16776503,0
27408931,16775656,0
27409969,16775503,0
27411004,16775077,0
27412040,16774344,0
27413077,16774619,0
27414113,16775329,0
27415149,16775421,0
27416185,16776668,0
27417222,220,0
27418259,159,0
27419293,16777198,0
27420331,467,0
27421369,549,0
27422402,464,0
27423440,16776901,0
27424475,16776218,0
27425511,16775972,0
27426547,16775496,0
27427583,16775141,0
27428620,16774424,0
27429658,16774507,0
27430692,16774940,0
27431728,16775578,0
27432765,16776710,0
27433802,11,0
27434838,16777037,0
27435874,19,0
27436911,652,0
27437947,548,0
27438983,16777085,0
27440017,16776368,0
27441054,16775492,0
27442090,16775643,0
27443127,16775253,0
27444164,16775509,0
27445199,16774942,0
27446236,16774426,0
27447271,16774824,0
27448307,16775129,0
27449344,16776311,0
27450380,16777015,0
27451418,306,0
27452454,347,0
27453490,750,0
27454527,1045,0
27455562,255,0
27456597,16776802,0
27457633,16776599,0
27458670,16775815,0
27459705,16775410,0
27460741,16775298,0
27461778,16775004,0
27462815,16774962,0
27463850,16775209,0
27464887,16775798,0
27465922,16776644,0
27466960,16776939,0
27467994,16777135,0
27469032,16777020,0
27470070,619,0
27471105,758,0
27472139,496,0
27473177,35,0
27474212,16776367,0
27475249,16775787,0
27476285,16775754,0
27477322,16775829,0
27478357,16775181,0
27479393,16774388,0
27480429,16775373,0
27481467,16775829,0
27482502,16776369,0
27483536,16777160,0
27484575,229,0
27485612,437,0
27486647,434,0
27487683,954,0
27488721,875,0
27489756,391,0
27490793,16776491,0
27491828,16775982,0
27492863,16776190,0
27493899,16775928,0
27494935,16775313,0
27495973,16774826,0
27497009,16775354,0
27498045,16776249,0
27499082,3,0
27500116,16776944,0
27501154,16777073,0
27502188,16777206,0
27503228,283,0
27504264,854,0
27505299,453,0
27506335,16777039,0
27507370,16776590,0
27508406,16776260,0
27509443,16775875,0
27510479,16775684,0
27511514,16775075,0
27512551,16774710,0
27513586,16775224,0
27514624,16775325,0
27515659,16776070,0
27516697,16776761,0
27517733,242,0
27518770,780,0
27519807,737,0
27520842,1097,0
27521877,498,0
27522913,16776908,0
27523949,16776351,0
27524984,16776172,0
27526023,16775983,0
27527057,16775572,0
27528093,16775092,0
27529131,16774747,0
27530165,16775256,0
27531202,16776075,0
27532238,16776736,0
27533276,16776970,0
27534312,394,0
27535347,484,0
27536384,431,0
27537422,1324,0
27538456,1032,0
27539493,45,0
27540527,16776608,0
27541565,16776550,0
27542601,16776540,0
27543636,16776024,0
27544673,16775395,0
27545709,16774612,0
27546747,16775461,0
27547781,16775667,0
27548816,16776120,0
27549854,104,0
27550890,140,0
27551927,376,0
27552965,701,0
27554001,1210,0
27555035,940,0
27556071,392,0
27557108,16776682,0
27558145,16776493,0
27559178,16776160,0
27560217,16775729,0
27561253,16775843,0
27562289,16774931,0
27563324,16775411,0
27564361,16775838,0
27565397,16776409,0
27566433,16776942,0
27567470,193,0
27568507,548,0
27569543,429,0
27570580,859,0
27571616,1031,0
27572652,553,0
27573688,16777053,0
27574723,16776540,0
27575759,16776243,0
27576795,16776187,0
27577832,16775899,0
27578868,16774943,0
27579903,16775373,0
27580941,16775749,0
27581976,16775884,0
27583014,16776991,0
27584049,103,0
27585086,461,0
27586122,662,0
27587159,1205,0
27588195,1093,0
27589230,399,0
27590265,16776415,0
27591302,16776472,0
27592338,16776404,0
27593374,16776044,0
27594411,16775739,0
27595446,16774656,0
27596483,16774606,0
27597517,16775328,0
27598555,16776675,0
27599590,16777128,0
27600629,513,0
27601664,792,0
27602702,529,0
27603737,1134,0
27604774,1161,0
27605811,365,0
27606845,16776822,0
27607881,16776333,0
27608917,16776331,0
27609953,16776106,0
27610989,16775597,0
27612027,16774945,0
27613063,16774985,0
27614099,16775898,0
27615135,16775933,0
27616169,16777206,0
27617208,382,0
27618243,402,0
27619279,232,0
27620318,853,0
27621353,543,0
27622388,1,0
27623423,16776856,0
27624461,16776529,0
27625496,16776703,0
27626531,16776232,0
27627569,16775522,0
27628604,16774752,0
27629640,16775353,0
27630677,16775438,0
27631713,16776186,0
27632750,16776857,0
27633786,16776846,0
27634822,16776721,0
27635857,16777126,0
27636896,729,0
27637932,1047,0
27638967,16775803,0
27640003,16775692,0
27641039,16776413,0
27642074,16775896,0
27643112,16775686,0
27644149,16775805,0
27645183,16775291,0
27646221,16775489,0
27647257,16775739,0
27648292,16775626,0
27649329,16776755,0
27650365,177,0
27651401,256,0
27652438,328,0
27653474,1046,0
27654510,1108,0
27655546,443,0
27656582,16776919,0
27657618,16776306,0
27658653,16776108,0
27659690,16775639,0
27660725,16775552,0
27661763,16774961,0
27662799,16775165,0
27663835,16775643,0
27664871,16776439,0
27665908,16776753,0
27666943,64,0
27667981,477,0
27669017,336,0
27670054,595,0
27671090,826,0
27672128,853,0
27673160,16777187,0
27674198,16776309,0
27675232,16776236,0
27676270,16775871,0
27677307,16775437,0
27678341,16775217,0
27679378,16774746,0
27680413,16775188,0
27681450,16775472,0
27682486,16776187,0
27683523,16777049,0
27684560,227,0
27685596,640,0
27686634,733,0
27687668,816,0
27688705,274,0
27689740,16776395,0
27690777,16776037,0
27691812,16776426,0
27692850,16775997,0
27693884,16775776,0
27694919,16775396,0
27695957,16774577,0
27696993,16775417,0
27698029,16776386,0
27699065,16777103,0
27700101,88,0
27701141,309,0
27702175,316,0
27703212,635,0
27704248,1114,0
27705285,607,0
27706321,266,0
27707356,16777053,0
27708391,16776226,0
27709427,16775876,0
27710464,16775426,0
27711498,16775136,0
27712537,16774723,0
27713572,16775231,0
27714608,16775448,0
27715645,16776325,0
27716682,16777037,0
27717716,16777204,0
27718754,520,0
27719791,620,0
27720826,924,0
27721863,415,0
27722897,16777204,0
27723935,16776468,0
27724971,16775843,0
27726006,16775612,0
27727043,16775605,0
27728078,16775418,0
27729114,16774376,0
27730151,16774782,0
27731187,16775920,0
27732225,16776557,0
27733260,16776950,0
27734297,16777053,0
27735333,410,0
27736370,314,0
27737407,743,0
27738443,783,0
27739478,16777077,0
27740514,16775961,0
27741550,16775813,0
27742586,16775543,0
27743620,16775596,0
27744656,16775576,0
27745694,16774540,0
27746730,16775231,0
27747766,16775555,0
27748802,16776086,0
27749837,16777096,0
27750876,620,0
27751912,407,0
27752948,154,0
27753986,661,0
27755020,488,0
27756056,16776980,0
27757093,16776221,0
27758129,16776063,0
27759164,16775674,0
27760202,16775467,0
27761236,16775123,0
27762274,16774314,0
27763308,16775186,0
27764345,16775812,0
27765381,16776186,0
27766418,16776772,0
27767454,16777006,0
27768491,478,0
27769528,260,0
27770563,760,0
27771600,477,0
27772637,16776525,0
27773672,16774870,0
27774708,16775815,0
27775742,16775552,0
27776781,16775481,0
27777816,16775309,0
27778853,16774826,0
27779889,16774825,0
27780925,16775444,0
27781961,16775974,0
27782997,16776419,0
27784032,16776668,0
27785071,16776981,0
27786105,16777207,0
27787143,636,0
27788180,335,0
27789215,16776959,0
27790252,16776469,0
27791287,16776050,0
27792323,16776015,0
27793357,16775632,0
27794394,16775334,0
27795432,16774685,0
27796468,16774939,0
27797504,16775769,0
27798541,16776373,0
27799577,16776801,0
27800614,53,0
27801649,74,0
27802686,253,0
27803722,892,0
27804757,1004,0
27805795,213,0
27806829,16776844,0
27807865,16776210,0
27808903,16775865,0
27809937,16775276,0
27810973,16775300,0
27812011,16774966,0
27813047,16774791,0
27814083,16775421,0
27815118,16775356,0
27816156,16776535,0
27817192,16777042,0
27818228,121,0
27819264,4,0
27820301,626,0
27821335,912,0
27822373,16777003,0
27823408,16776267,0
27824444,16776151,0
27825480,16775752,0
27826516,16775201,0
27827553,16775290,0
27828590,16774855,0
27829626,16774895,0
27830661,16775409,0
27831698,16776259,0
27832735,16776767,0
